,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
36,10,0.0,20,0.01159810000001471,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.1,0.0001,0.001,0.09999884019000001,0.1,5000,
37,50,67.0,62,0.02513410000000249,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.1,0.0001,0.001,0.09999748659,0.1,5000,
38,250,67.0,235,0.05625100000003158,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.1,0.0001,0.001,0.0999943749,0.1,5000,
39,500,67.0,235,0.05625100000003158,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.1,0.0001,0.001,0.0999943749,0.1,5000,
40,1000,67.0,235,0.05625100000003158,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.1,0.0001,0.001,0.0999943749,0.1,5000,
41,5000,67.0,235,0.05625100000003158,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,0.1,0.0001,0.001,0.0999943749,0.1,5000,
42,0,0.0,0,0.00011970000002747838,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,1.0,0.99,0.001,0.9999987969755217,1,5000,
43,10,0.0,20,0.014129099999991013,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,1.0,0.99,0.001,0.9998580078815276,1,5000,
44,50,67.0,62,0.030213300000013987,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,1.0,0.99,0.001,0.99969639228591,1,5000,
45,250,67.0,235,0.06173019999999951,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,1.0,0.99,0.001,0.9993797831717163,1,5000,
46,500,67.0,235,0.06173019999999951,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,1.0,0.99,0.001,0.9993797831717163,1,5000,
47,1000,67.0,235,0.06173019999999951,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,1.0,0.99,0.001,0.9993797831717163,1,5000,
48,5000,67.0,235,0.06173019999999951,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,1.0,0.99,0.001,0.9993797831717163,1,5000,
49,0,0.0,0,0.00011290000003327805,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",exponential,1.0,,0.001,0.9999994355001591,1,5000,0.005
50,10,0.0,20,0.01418010000003278,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,1.0,,0.001,0.9999291020133809,1,5000,0.005
51,50,67.0,62,0.03094229999999243,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,1.0,,0.001,0.999845300467207,1,5000,0.005
52,250,67.0,235,0.06429719999999861,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,1.0,,0.001,0.9996785656710868,1,5000,0.005
53,500,67.0,235,0.06429719999999861,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,1.0,,0.001,0.9996785656710868,1,5000,0.005
54,1000,67.0,235,0.06429719999999861,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,1.0,,0.001,0.9996785656710868,1,5000,0.005
55,5000,67.0,235,0.06429719999999861,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",exponential,1.0,,0.001,0.9996785656710868,1,5000,0.005
56,0,0.0,0,0.0001080000000115433,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",arithmetic,1.0,0.0001,0.001,0.9999999892,1,5000,
57,10,0.0,20,0.019494799999961288,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,1.0,0.0001,0.001,0.99999805052,1,5000,
58,50,67.0,62,0.040990999999962696,"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",arithmetic,1.0,0.0001,0.001,0.9999959009,1,5000,
59,250,78.0,273,0.08598299999999881,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",arithmetic,1.0,0.0001,0.001,0.9999914017,1,5000,
60,500,83.0,528,0.16917869999997492,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",arithmetic,1.0,0.0001,0.001,0.99998308213,1,5000,
61,1000,83.0,710,0.25689169999998285,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",arithmetic,1.0,0.0001,0.001,0.99997431083,1,5000,
62,5000,83.0,710,0.25689169999998285,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",arithmetic,1.0,0.0001,0.001,0.99997431083,1,5000,
63,0,0.0,0,0.00019720000000233995,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]",geometric,10.0,0.99,0.001,9.999980180757337,10,5000,
64,10,0.0,20,0.02257240000000138,"[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0]",geometric,10.0,0.99,0.001,9.9977316552981,10,5000,
65,50,56.0,84,0.04459479999997029,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",geometric,10.0,0.99,0.001,9.99551907706033,10,5000,
66,250,77.0,330,0.10497379999998202,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",geometric,10.0,0.99,0.001,9.989455343941675,10,5000,
